metric,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,event_start_s,event_end_s,requires_manual_confirmation
au09_nose_wrinkle_proxy,0.22999999999998977,6.091528319723467,6.091528319723467,23,2025-12-23_14-26-24_Orna_1,138.59,138.82,True
au10_upper_lip_raise_proxy,0.08999999999999975,4.069373597507662,-4.069373597507662,9,2025-12-23_14-26-24_Orna_1,0.92,1.0099999999999998,True
au10_upper_lip_raise_proxy,0.16999999999999993,5.060548316291799,-5.060548316291799,17,2025-12-23_14-26-24_Orna_1,10.54,10.709999999999999,True
au10_upper_lip_raise_proxy,0.16000000000000014,5.963272996165183,-5.963272996165183,16,2025-12-23_14-26-24_Orna_1,14.82,14.98,True
au10_upper_lip_raise_proxy,0.14000000000000057,3.5259291771654135,-3.5259291771654135,14,2025-12-23_14-26-24_Orna_1,20.07,20.21,True
au10_upper_lip_raise_proxy,0.17999999999999972,7.182025583271175,-7.182025583271175,18,2025-12-23_14-26-24_Orna_1,24.97,25.15,True
au10_upper_lip_raise_proxy,0.19999999999999574,4.418937665483376,-4.418937665483376,20,2025-12-23_14-26-24_Orna_1,50.03,50.23,True
au10_upper_lip_raise_proxy,0.3900000000000148,4.449874750922862,-4.449874750922862,39,2025-12-23_14-26-24_Orna_1,67.96,68.35000000000001,True
au10_upper_lip_raise_proxy,0.15000000000000568,4.445883198269183,-4.445883198269183,15,2025-12-23_14-26-24_Orna_1,74.8,74.95,True
au10_upper_lip_raise_proxy,0.29999999999999716,4.410270798016533,-4.410270798016533,28,2025-12-23_14-26-24_Orna_1,83.76,84.06,True
au10_upper_lip_raise_proxy,0.46000000000000796,4.12322089159808,-4.12322089159808,46,2025-12-23_14-26-24_Orna_1,88.52,88.98,True
au10_upper_lip_raise_proxy,0.14000000000001478,4.134070000728972,-4.134070000728972,14,2025-12-23_14-26-24_Orna_1,93.91,94.05000000000001,True
au10_upper_lip_raise_proxy,0.21000000000000796,4.72830998684809,-4.72830998684809,21,2025-12-23_14-26-24_Orna_1,97.6,97.81,True
au10_upper_lip_raise_proxy,0.25,3.321201043198937,3.321201043198937,22,2025-12-23_14-26-24_Orna_1,102.58,102.83,True
au10_upper_lip_raise_proxy,0.12000000000000455,3.4959794670529623,-3.4959794670529623,12,2025-12-23_14-26-24_Orna_1,111.79,111.91000000000001,True
au10_upper_lip_raise_proxy,0.12999999999999545,6.45417614267255,-6.45417614267255,13,2025-12-23_14-26-24_Orna_1,112.54,112.67,True
au10_upper_lip_raise_proxy,0.13000000000000966,3.895505040025329,-3.895505040025329,13,2025-12-23_14-26-24_Orna_1,122.71,122.84,True
au10_upper_lip_raise_proxy,0.11000000000001364,4.56633914418308,-4.56633914418308,11,2025-12-23_14-26-24_Orna_1,130.01,130.12,True
au10_upper_lip_raise_proxy,0.13999999999998636,4.789654827855649,-4.789654827855649,14,2025-12-23_14-26-24_Orna_1,133.57,133.70999999999998,True
au10_upper_lip_raise_proxy,0.18999999999999773,6.452281100497011,-6.452281100497011,19,2025-12-23_14-26-24_Orna_1,138.59,138.78,True
au24_lip_press_proxy,0.08999999999999979,6.872168106252895,-6.872168106252895,9,2025-12-23_14-26-24_Orna_1,0.0,0.08999999999999979,True
au24_lip_press_proxy,0.13999999999999968,3.656507037407927,-3.656507037407927,14,2025-12-23_14-26-24_Orna_1,6.79,6.93,True
au24_lip_press_proxy,0.17999999999999972,4.58626015077536,4.58626015077536,18,2025-12-23_14-26-24_Orna_1,50.04,50.22,True
au24_lip_press_proxy,0.22999999999999687,6.467734782371976,-6.467734782371976,23,2025-12-23_14-26-24_Orna_1,58.97,59.199999999999996,True
au24_lip_press_proxy,0.19000000000001194,3.8502268710525342,-3.8502268710525342,19,2025-12-23_14-26-24_Orna_1,67.49,67.68,True
au24_lip_press_proxy,0.0800000000000125,3.6477028129405564,-3.6477028129405564,8,2025-12-23_14-26-24_Orna_1,67.85,67.93,True
au24_lip_press_proxy,0.1700000000000017,4.1531169685980664,-4.1531169685980664,17,2025-12-23_14-26-24_Orna_1,68.14,68.31,True
au24_lip_press_proxy,0.12000000000000455,8.813038018696991,-8.813038018696991,12,2025-12-23_14-26-24_Orna_1,74.9,75.02000000000001,True
au24_lip_press_proxy,0.0800000000000125,4.080276513106313,-4.080276513106313,8,2025-12-23_14-26-24_Orna_1,83.41,83.49000000000001,True
au24_lip_press_proxy,0.10999999999999943,3.59304957011264,-3.59304957011264,11,2025-12-23_14-26-24_Orna_1,83.59,83.7,True
au24_lip_press_proxy,0.10000000000000853,8.110943580376384,-8.110943580376384,10,2025-12-23_14-26-24_Orna_1,84.0,84.10000000000001,True
au24_lip_press_proxy,0.37000000000000455,4.987765631904427,-4.987765631904427,37,2025-12-23_14-26-24_Orna_1,88.4,88.77000000000001,True
au24_lip_press_proxy,0.29999999999999716,6.468995028360878,-6.468995028360878,30,2025-12-23_14-26-24_Orna_1,111.81,112.11,True
au24_lip_press_proxy,0.30000000000001137,4.834341175054582,-4.834341175054582,30,2025-12-23_14-26-24_Orna_1,120.38,120.68,True
au24_lip_press_proxy,0.3199999999999932,6.059831543513256,-6.059831543513256,32,2025-12-23_14-26-24_Orna_1,124.68,125.0,True
au24_lip_press_proxy,0.10999999999998522,3.509585199987709,-3.509585199987709,11,2025-12-23_14-26-24_Orna_1,138.1,138.20999999999998,True
au24_lip_press_proxy,0.10999999999998522,3.7081888607490674,-3.7081888607490674,11,2025-12-23_14-26-24_Orna_1,144.44,144.54999999999998,True
au45_blink_proxy,0.11999999999999977,6.096613465833996,6.096613465833996,12,2025-12-23_14-26-24_Orna_1,0.91,1.0299999999999998,True
au45_blink_proxy,0.1299999999999999,5.855369742783027,5.855369742783027,13,2025-12-23_14-26-24_Orna_1,7.77,7.8999999999999995,True
au45_blink_proxy,0.15000000000000036,7.178870299852928,7.178870299852928,15,2025-12-23_14-26-24_Orna_1,10.54,10.69,True
au45_blink_proxy,0.15999999999999837,9.020791924355134,9.020791924355134,16,2025-12-23_14-26-24_Orna_1,14.8,14.959999999999999,True
au45_blink_proxy,0.129999999999999,9.683923964736413,9.683923964736413,13,2025-12-23_14-26-24_Orna_1,24.95,25.08,True
au45_blink_proxy,0.1699999999999946,7.409311945414495,7.409311945414495,17,2025-12-23_14-26-24_Orna_1,42.84,43.01,True
au45_blink_proxy,0.10999999999999943,3.3225865403935333,-3.3225865403935333,11,2025-12-23_14-26-24_Orna_1,43.48,43.589999999999996,True
au45_blink_proxy,0.269999999999996,3.5013873155188473,3.5013873155188473,27,2025-12-23_14-26-24_Orna_1,53.63,53.9,True
au45_blink_proxy,0.1599999999999966,5.788930617796764,5.788930617796764,16,2025-12-23_14-26-24_Orna_1,56.22,56.379999999999995,True
au45_blink_proxy,0.13000000000000966,7.269141297192607,7.269141297192607,13,2025-12-23_14-26-24_Orna_1,66.64,66.77000000000001,True
au45_blink_proxy,0.13000000000000966,6.217581428470675,6.217581428470675,13,2025-12-23_14-26-24_Orna_1,77.47,77.60000000000001,True
au45_blink_proxy,0.14000000000001478,7.140976839154968,7.140976839154968,14,2025-12-23_14-26-24_Orna_1,81.71,81.85000000000001,True
au45_blink_proxy,0.18000000000000682,3.2577827229756506,3.2577827229756506,18,2025-12-23_14-26-24_Orna_1,82.98,83.16000000000001,True
au45_blink_proxy,0.12000000000000455,6.463527766883005,6.463527766883005,12,2025-12-23_14-26-24_Orna_1,93.9,94.02000000000001,True
au45_blink_proxy,0.13000000000000966,7.125648953511904,7.125648953511904,13,2025-12-23_14-26-24_Orna_1,97.6,97.73,True
au45_blink_proxy,0.12000000000000455,4.511928927018305,4.511928927018305,12,2025-12-23_14-26-24_Orna_1,114.59,114.71000000000001,True
au45_blink_proxy,0.10000000000000853,4.877745002446916,4.877745002446916,10,2025-12-23_14-26-24_Orna_1,116.5,116.60000000000001,True
au45_blink_proxy,0.10999999999999943,5.547956057994445,5.547956057994445,11,2025-12-23_14-26-24_Orna_1,117.93,118.04,True
au45_blink_proxy,0.1700000000000017,6.912617695327413,6.912617695327413,17,2025-12-23_14-26-24_Orna_1,122.66,122.83,True
au45_blink_proxy,0.12000000000000455,4.296551809956868,4.296551809956868,12,2025-12-23_14-26-24_Orna_1,126.21,126.33,True
au45_blink_proxy,0.14999999999997726,5.560214316416999,5.560214316416999,15,2025-12-23_14-26-24_Orna_1,130.0,130.14999999999998,True
au45_blink_proxy,0.12999999999999545,5.833383020211807,5.833383020211807,13,2025-12-23_14-26-24_Orna_1,133.56,133.69,True
au45_blink_proxy,0.15000000000000568,9.878543775281116,9.878543775281116,15,2025-12-23_14-26-24_Orna_1,138.6,138.75,True
au45_blink_proxy,0.12999999999999545,9.403705555303002,9.403705555303002,13,2025-12-23_14-26-24_Orna_1,143.39,143.51999999999998,True
au45_blink_proxy,0.0999999999999659,3.845429100336312,3.845429100336312,10,2025-12-23_14-26-24_Orna_1,151.36,151.45999999999998,True
au45_blink_proxy,0.09999999999999432,5.089379242600486,5.089379242600486,10,2025-12-23_14-26-24_Orna_1,152.34,152.44,True
au45_blink_proxy,0.09999999999999432,4.773315927079943,4.773315927079943,10,2025-12-23_14-26-24_Orna_1,155.23,155.32999999999998,True
cheek_composite_proxy,0.08999999999999975,4.427888883483808,-4.427888883483808,9,2025-12-23_14-26-24_Orna_1,0.92,1.0099999999999998,True
cheek_composite_proxy,0.1200000000000001,4.2751420188904845,-4.2751420188904845,12,2025-12-23_14-26-24_Orna_1,7.79,7.91,True
cheek_composite_proxy,0.19000000000000128,5.417976822920843,-5.417976822920843,19,2025-12-23_14-26-24_Orna_1,10.54,10.73,True
cheek_composite_proxy,0.16999999999999993,5.912804748149663,-5.912804748149663,17,2025-12-23_14-26-24_Orna_1,14.81,14.98,True
cheek_composite_proxy,0.10999999999999943,3.0918320465387272,-3.0918320465387272,11,2025-12-23_14-26-24_Orna_1,20.04,20.15,True
cheek_composite_proxy,0.16000000000000014,6.769646885713463,-6.769646885713463,16,2025-12-23_14-26-24_Orna_1,24.98,25.14,True
cheek_composite_proxy,0.14999999999999858,3.0732279015292256,3.0732279015292256,12,2025-12-23_14-26-24_Orna_1,38.19,38.339999999999996,True
