video_id,trial_id,window,window_start_rel_s,window_end_rel_s,deepface_sampled_frames,deepface_success_rate,deepface_dominant_emotion_mode,deepface_angry_mean,deepface_angry_max,deepface_disgust_mean,deepface_disgust_max,deepface_fear_mean,deepface_fear_max,deepface_happy_mean,deepface_happy_max,deepface_sad_mean,deepface_sad_max,deepface_surprise_mean,deepface_surprise_max,deepface_neutral_mean,deepface_neutral_max
P1H42065,1,short_500_2000ms,0.5,2.0,1,1.0,fear,1.819459066609852e-05,1.819459066609852e-05,1.3448057778475686e-08,1.3448057778475686e-08,99.6650161743164,99.6650161743164,0.187478095293045,0.187478095293045,0.1474849581718444,0.1474849581718444,8.465191325690569e-10,8.465191325690569e-10,9.05269700979261e-07,9.05269700979261e-07
P1H42065,1,late_2_5s,2.0,5.0,3,1.0,fear,0.09586931154649392,0.2875634729862213,0.00029584951725213337,0.0008875472703948,81.85104624430339,99.9195327758789,14.87279194353141,44.60374450683594,2.580172243217627,4.993677139282227,2.1208321694746532e-05,6.362496060319245e-05,0.5998062301712631,1.7990059852600098
P1H42065,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,0.0059540132060647,0.0059540132060647,4.911868927592877e-06,4.911868927592877e-06,82.29188537597656,82.29188537597656,0.7511856555938721,0.7511856555938721,16.942859649658203,16.942859649658203,6.109411515353713e-06,6.109411515353713e-06,0.0081091495230793,0.0081091495230793
P1H42065,2,early_0_500ms,0.0,0.5,1,1.0,sad,2.412583307886962e-05,2.412583307886962e-05,1.941287564477534e-06,1.941287564477534e-06,3.2064926624298096,3.2064926624298096,0.0014687948860228,0.0014687948860228,96.79147338867188,96.79147338867188,5.018232496212249e-09,5.018232496212249e-09,0.0005478079547174,0.0005478079547174
P1H42065,2,short_500_2000ms,0.5,2.0,1,1.0,sad,0.0035650860518217,0.0035650860518217,3.11795920424629e-05,3.11795920424629e-05,22.83600234985352,22.83600234985352,2.8628745079040527,2.8628745079040527,74.2220458984375,74.2220458984375,5.341848736861721e-05,5.341848736861721e-05,0.0754289478063583,0.0754289478063583
P1H42065,2,late_2_5s,2.0,5.0,3,1.0,fear,0.13172198634129015,0.2869518101215362,1.897539921029307e-05,3.957345688831992e-05,91.7368392944336,99.89518737792967,2.6361701531520034,7.55437707901001,5.068363554775715,14.285137176513672,0.005267783999485058,0.0129216704517602,0.42161818663589656,1.2151520252227783
P1L42069,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,3.4635608159305775e-08,3.4635608159305775e-08,2.275839039385429e-15,2.275839039385429e-15,95.54270935058594,95.54270935058594,4.456788539886475,4.456788539886475,0.000501082278788,0.000501082278788,2.3555981609746364e-09,2.3555981609746364e-09,8.256904038717039e-06,8.256904038717039e-06
P1L42069,1,early_0_500ms,0.0,0.5,1,1.0,fear,1.4224036704035823e-06,1.4224036704035823e-06,2.3434678676770293e-12,2.3434678676770293e-12,77.80317687988281,77.80317687988281,22.16087913513184,22.16087913513184,0.0359088405966758,0.0359088405966758,3.1263678312853926e-09,3.1263678312853926e-09,3.3814998460002244e-05,3.3814998460002244e-05
P1L42069,1,short_500_2000ms,0.5,2.0,1,1.0,fear,4.023162887278886e-07,4.023162887278886e-07,6.800086210269339e-13,6.800086210269339e-13,79.10562896728516,79.10562896728516,20.87031555175781,20.87031555175781,0.0239022523164749,0.0239022523164749,3.074653864842957e-09,3.074653864842957e-09,0.0001550430752104,0.0001550430752104
P1L42069,1,late_2_5s,2.0,5.0,3,1.0,neutral,0.01645305124972232,0.0276924315840005,2.801851521925016e-09,4.7851300699619514e-09,15.206568002700806,32.81308364868164,29.34701779919366,87.9614028930664,13.656721794124072,32.46861267089844,0.002519352150688769,0.0075556724332273,41.77071815584228,66.71573638916016
