metric,event_start_rel_s,event_end_rel_s,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,trial_id,condition
au24_lip_press_proxy,0.2599999999999909,0.8299999999999841,0.5699999999999932,4.259509890615943,-4.259509890615943,57,P2H42009,2,sweat
au24_lip_press_proxy,1.039999999999992,1.2299999999999898,0.18999999999999773,3.603553373108656,-3.603553373108656,19,P2H42009,2,sweat
cheek_composite_proxy,4.22999999999999,5.0,0.7700000000000102,4.768210207986135,-4.768210207986135,77,P2H42009,2,sweat
au06_cheek_raise_proxy,1.1199999999999992,1.2400000000000002,0.120000000000001,4.129507241224773,4.129507241224773,12,P2L40002,1,control
au12_lip_corner_pull_proxy,1.1099999999999994,1.2200000000000006,0.11000000000000121,3.139131851677591,-3.139131851677591,9,P2L40002,1,control
au12_lip_corner_pull_proxy,1.4100000000000001,1.7899999999999991,0.379999999999999,3.4758070550973996,-3.4758070550973996,38,P2L40002,1,control
au10_upper_lip_raise_proxy,1.3900000000000006,2.0600000000000005,0.6699999999999999,4.079945530077755,4.079945530077755,67,P2L40002,1,control
au45_blink_proxy,1.0999999999999996,1.1899999999999995,0.08999999999999986,3.057232986299931,3.057232986299931,9,P2L40002,1,control
au45_blink_proxy,2.92,3.0,0.08000000000000007,3.0921067971656444,3.0921067971656444,8,P2L40002,1,control
au06_cheek_raise_proxy,0.03999999999999204,0.38999999999998636,0.3499999999999943,4.959100906484573,-4.959100906484573,35,P2L40002,2,sweat
au06_cheek_raise_proxy,0.539999999999992,0.9699999999999989,0.4300000000000068,11.91490236810778,11.91490236810778,42,P2L40002,2,sweat
au06_cheek_raise_proxy,2.5999999999999943,2.759999999999991,0.1599999999999966,11.106177381858176,11.106177381858176,16,P2L40002,2,sweat
au06_cheek_raise_proxy,2.8300000000000125,3.3400000000000034,0.5099999999999909,4.251573136940102,-4.251573136940102,51,P2L40002,2,sweat
au06_cheek_raise_proxy,4.860000000000014,5.009999999999991,0.14999999999997726,5.513391257381916,-5.513391257381916,15,P2L40002,2,sweat
au12_lip_corner_pull_proxy,0.0,0.37000000000000455,0.37000000000000455,14.682942000422896,14.682942000422896,37,P2L40002,2,sweat
au12_lip_corner_pull_proxy,4.319999999999993,4.539999999999992,0.21999999999999886,4.0089009117779915,4.0089009117779915,22,P2L40002,2,sweat
au09_nose_wrinkle_proxy,0.8199999999999932,0.9899999999999807,0.1699999999999875,9.520460851647762,-9.520460851647762,17,P2L40002,2,sweat
au10_upper_lip_raise_proxy,4.47999999999999,5.009999999999991,0.5300000000000011,8.073087239030732,8.073087239030732,52,P2L40002,2,sweat
au24_lip_press_proxy,0.3499999999999943,0.8100000000000023,0.46000000000000796,4.218319869342355,4.218319869342355,46,P2L40002,2,sweat
au24_lip_press_proxy,0.8600000000000136,0.9899999999999807,0.12999999999996703,4.6315896132875505,-4.6315896132875505,13,P2L40002,2,sweat
au24_lip_press_proxy,3.3499999999999943,3.7299999999999898,0.37999999999999545,5.0632058195896885,5.0632058195896885,37,P2L40002,2,sweat
au24_lip_press_proxy,3.8799999999999955,4.25,0.37000000000000455,6.395022765363594,-6.395022765363594,34,P2L40002,2,sweat
au24_lip_press_proxy,4.409999999999997,5.009999999999991,0.5999999999999943,6.733167055221259,6.733167055221259,60,P2L40002,2,sweat
au45_blink_proxy,1.0900000000000034,1.1999999999999886,0.10999999999998522,4.266430069426298,-4.266430069426298,11,P2L40002,2,sweat
cheek_composite_proxy,0.8100000000000023,0.9799999999999898,0.1699999999999875,10.61456414235234,10.61456414235234,17,P2L40002,2,sweat
