window,feature,n_pairs,sweat_mean,control_mean,mean_diff_sweat_minus_control,median_diff_sweat_minus_control,paired_effect_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
baseline_-1000_-500ms,au10_upper_lip_raise_proxy_delta_auc_abs,7,0.005587857631888629,0.006286835566405171,-0.0006989779345165423,0.0005898966433689002,-0.07989405946971777,-0.21137981258827818,0.8395878023119935,13.0,0.9375
baseline_-1000_-500ms,au24_lip_press_proxy_delta_mean,7,-0.0004981732062446731,-0.00021751987783906959,-0.00028065332840560367,-0.00012775143857119998,-0.06100458490467044,-0.16140296049248293,0.8770737764048692,12.0,0.8125
baseline_-1000_-500ms,au24_lip_press_proxy_z_peak_abs,7,3.8573584561412075,3.8327059524435776,0.024652503697630328,0.41262752114579726,0.008666847212410712,0.022930322375032133,0.9824494226165147,14.0,1.0
baseline_-1000_-500ms,au24_lip_press_proxy_delta_auc_abs,7,0.0008089948109551286,0.0015035075147566428,-0.0006945127038015143,-0.0004936055419115001,-0.3279295094337665,-0.8676199295211555,0.4189454567297299,10.0,0.578125
baseline_-1000_-500ms,au45_blink_proxy_delta_mean,7,0.004208223025566944,0.019822294601669014,-0.015614071576102072,0.0029851460214192996,-0.26372259838918766,-0.6977444104455537,0.51145627044513,11.0,0.6875
baseline_-1000_-500ms,au45_blink_proxy_z_peak_abs,7,17.25172174853031,3.500186445385539,13.751535303144776,3.8099122926793267,0.42496647461230025,1.1243556073639904,0.3038218998728733,5.0,0.15625
baseline_-1000_-500ms,au45_blink_proxy_delta_auc_abs,7,0.027924092162991816,0.03622014352449036,-0.008296051361498543,0.0271937263631928,-0.1369815553086455,-0.36241912954951555,0.7294623322704876,10.0,0.578125
baseline_-1000_-500ms,cheek_composite_proxy_delta_mean,7,0.0016472867284803854,0.002178527634007375,-0.0005312409055269893,-0.0008782608164504,-0.0879412585614896,-0.23267070013573127,0.8237507895616312,10.0,0.578125
baseline_-1000_-500ms,cheek_composite_proxy_z_peak_abs,7,2.821784260269016,2.4011297456437553,0.4206545146252609,0.008280724199170475,0.16065158748875313,0.4250441482229764,0.6856257988602681,13.0,0.9375
baseline_-1000_-500ms,cheek_composite_proxy_delta_auc_abs,7,0.0041491324636308575,0.0032180020899591857,0.0009311303736716716,0.0023475069652171,0.1432379818355343,0.37897207823561085,0.7177571925296188,10.0,0.578125
baseline_-1000_-500ms,mouth_open_proxy_delta_mean,7,0.0004981732062446731,0.00021751987783906959,0.00028065332840560367,0.00012775143857119998,0.06100458490467044,0.16140296049248293,0.8770737764048692,12.0,0.8125
baseline_-1000_-500ms,mouth_open_proxy_z_peak_abs,7,3.8573584561412075,3.8327059524435776,0.024652503697630328,0.41262752114579726,0.008666847212410712,0.022930322375032133,0.9824494226165147,14.0,1.0
baseline_-1000_-500ms,mouth_open_proxy_delta_auc_abs,7,0.0008089948109551286,0.0015035075147566428,-0.0006945127038015143,-0.0004936055419115001,-0.3279295094337665,-0.8676199295211555,0.4189454567297299,10.0,0.578125
baseline_-1000_-500ms,mouth_asymmetry_proxy_delta_mean,7,-0.0016835076116721145,0.002117331566759071,-0.003800839178431186,-0.0009006868428551998,-0.49423388373219695,-1.3076199458570044,0.2388690134455318,9.0,0.46875
baseline_-1000_-500ms,mouth_asymmetry_proxy_z_peak_abs,7,4.853292968436825,3.329277748194488,1.5240152202423372,0.4366525507022827,0.26369808816723006,0.6976795624936749,0.511494048886548,12.0,0.8125
baseline_-1000_-500ms,mouth_asymmetry_proxy_delta_auc_abs,7,0.0045233869620044135,0.004010646488704857,0.0005127404732995571,-0.0007250105479594997,0.11751420737166864,0.3109133682223084,0.766384660663667,12.0,0.8125
baseline_-1000_-500ms,head_yaw_proxy_delta_mean,7,-0.005912094543616957,0.00013381046230972853,-0.006045905005926686,-0.0033705330573125004,-0.5061517939611428,-1.3391517724703883,0.22901983055520544,9.0,0.46875
baseline_-1000_-500ms,head_yaw_proxy_z_peak_abs,7,5.016085075880354,2.5203945724314423,2.495690503448912,0.18203019959978395,0.74530375298335,1.9718883815970578,0.09609834607094683,6.0,0.21875
baseline_-1000_-500ms,head_yaw_proxy_delta_auc_abs,7,0.0061844264556326,0.006595180544568943,-0.00041075408893634325,0.0013307128765243999,-0.03314810037013046,-0.08770163001357331,0.9329676529721724,12.0,0.8125
baseline_-1000_-500ms,head_roll_deg_delta_mean,7,-0.5735473700904373,0.04007242050797987,-0.6136197905984172,-0.34774588556201513,-0.5836757026013574,-1.5442607553940875,0.1734749312274508,5.0,0.15625
baseline_-1000_-500ms,head_roll_deg_z_peak_abs,7,3.4440102803440493,2.502261073121126,0.9417492072229235,0.500305469845076,0.40409397056374474,1.0691321524123236,0.32612374867348115,8.0,0.375
baseline_-1000_-500ms,head_roll_deg_delta_auc_abs,7,0.5785657962171379,0.7699011993011098,-0.19133540308397187,0.11407500861190498,-0.11783388793407841,-0.31175916348942595,0.7657725485662227,11.0,0.6875
early_0_500ms,au06_cheek_raise_proxy_delta_mean,7,0.0029600405421721285,0.0015137989873927585,0.0014462415547793707,0.002732683079832699,0.04345695299460828,0.11497629036035716,0.9122151681726327,12.0,0.8125
early_0_500ms,au06_cheek_raise_proxy_z_peak_abs,7,8.780030839655607,11.840383817146556,-3.0603529774909473,0.6385249335470959,-0.14738611373801638,-0.38994700365507173,0.7100422385548131,12.0,0.8125
early_0_500ms,au06_cheek_raise_proxy_delta_auc_abs,7,0.015435764577207899,0.018680217055975615,-0.0032444524787677144,-0.0019498155179259007,-0.33306156380362656,-0.8811980690986677,0.41211499712387073,10.0,0.578125
early_0_500ms,au12_lip_corner_pull_proxy_delta_mean,7,0.0049210893197984855,0.0013036039874946717,0.003617485332303816,-0.003769439974286401,0.07839570866143801,0.2074155489728373,0.8425459511960766,12.0,0.8125
early_0_500ms,au12_lip_corner_pull_proxy_z_peak_abs,7,7.477380587822857,4.818716670696525,2.6586639171263315,0.8286394579312875,0.43869202587303563,1.1606700026071652,0.2898644151748295,10.0,0.578125
early_0_500ms,au12_lip_corner_pull_proxy_delta_auc_abs,7,0.011791113915995886,0.011404084305269457,0.0003870296107264288,-0.0007609557100053,0.019806222136139386,0.05240233818392729,0.9599092201550045,14.0,1.0
early_0_500ms,au09_nose_wrinkle_proxy_delta_mean,7,0.02232066697791657,0.007900539692321299,0.014420127285595274,0.010125984411574303,0.24428880433173403,0.6463274243390865,0.5419843027532162,11.0,0.6875
early_0_500ms,au09_nose_wrinkle_proxy_z_peak_abs,7,8.046940423114505,5.020320390371202,3.0266200327433013,0.1274188803301073,0.26357805612587043,0.6973619875628779,0.5116790850009925,12.0,0.8125
early_0_500ms,au09_nose_wrinkle_proxy_delta_auc_abs,7,0.013870108615119158,0.01659670926530313,-0.0027266006501839722,-0.0037749336890886996,-0.17983962857594654,-0.47581093308617955,0.6510382727033412,11.0,0.6875
